파일,기호,컬럼,엑셀값,엑셀셀,도면원문,도면정규화,도면좌표,판정
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,캠버,-,E7,-,-,"(14086.0, 7680.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,서포트,-,G7,-,-,"(14392.0, 7680.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,TG,210,H7,M13106-210,210,"(12018.0, 7680.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,상부피복,30,I7,30,30,"(12529.0, 7719.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,하부피복,30,J7,30,30,"(12529.0, 7641.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,단부재,MVS,F7,,,,N/A
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS2,강판타입,A,K7,,,,N/A
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,TYPE,M13106,B8,M13106-210,M13106,"(12018.0, 7524.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,THK.,250,C8,250,250,"(11874.0, 7524.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,래티스,Ø6,D8,ø6,Ø6,"(12381.0, 7524.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,캠버,200,E8,LX/200,200,"(14086.0, 7524.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,서포트,-,G8,-,-,"(14392.0, 7524.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,TG,210,H8,M13106-210,210,"(12018.0, 7524.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,상부피복,30,I8,30,30,"(12529.0, 7563.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,하부피복,30,J8,30,30,"(12529.0, 7485.0)",일치
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,단부재,MVS,F8,,,,N/A
0309-13~15-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-B.xlsm,RDS3,강판타입,A,K8,,,,N/A
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,TYPE,M10085,B2,M10085-110,M10085,"(12018.0, 8460.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,THK.,150,C2,150,150,"(11874.0, 8460.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,래티스,Ø5,D2,ø5,Ø5,"(12381.0, 8460.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,캠버,200,E2,LX/200,200,"(14086.0, 8460.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,서포트,-,G2,-,-,"(14392.0, 8460.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,TG,110,H2,M10085-110,110,"(12018.0, 8460.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,상부피복,30,I2,30,30,"(12529.0, 8499.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,하부피복,30,J2,30,30,"(12529.0, 8421.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,단부재,MVS,F2,,,,N/A
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS1,강판타입,A,K2,,,,N/A
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,TYPE,M13105,B3,M13105-110,M13105,"(12018.0, 8304.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,THK.,150,C3,150,150,"(11874.0, 8304.0)",일치
